Not Fleshed Out,Name,Type,Subtype,Cost,Desc,Power,Toughness,,"""Does""","""Cares About""",CMC,Flavor Text,,Is Card,Is White,Is Blue,Is Black,Is Red,Is Green,Is Colorless,Is Gold,Is Enchantment,Is Creature,Is Artifact,Is Instant/Sorcery,Is Land
FALSE,Waterfall Mongrel,Artifact Creature,Robot,{5},"Cascade
Whenever Waterfall Mongrel or another creature enters under your control, put a charge counter on Waterfall Mongrel.
{t}, remove X charge counters from Waterfall Mongrel: Discover X.",4,3,,"Cascade, Counters, ETB",Cascade,5,"""Agile? Get out of here!""",,1,0,0,0,0,0,1,0,0,1,1,0,0
FALSE,Greedy Trapper,Creature,Goblin Rogue,{2}{w}{r},"{w}{r}, {t}: Exile target creature until Greedy Trapper leaves the battlefield.
When Greedy Trapper dies, it deal damage to all permanents equal to the total mana cost of creatures exiled with it.",3,3,,Removal,,4,,,1,1,0,0,1,0,0,1,0,1,0,0,0
FALSE,Oversee,Instant,,{1}{u/b},"Scry 2 for target player, then scry 2.",,,,Scry,,2,,,1,0,1,1,0,0,0,1,0,0,0,1,0
FALSE,Privacy Cop,Creature,,{1}{w}{u},"Vigilance
Whenever a player searches, scries for, or reorders a deck or hand that isn’t theirs, put a +1/+1 counter on Privacy Cop.
{1}, {t}: Scry 1 for target player.",2,3,,"Scry, Counters","Searching, Scry",3,,,1,1,1,0,0,0,0,1,0,1,0,0,0
FALSE,Send High,Enchantment,,{X}{w/u},"Flash
When Send High enters, put X time counters on it and exile target permanent you control with converted mana cost less than or equal to X.
At the beginning of your end step, remove a time counter from Send High. 
When Send High has no time counters on it, sacrifice it and return the exiled permanent to the battlefield under your control. Then it deals damage to any target equal to its mana cost.",,,,"Burn, Flicker, ETB",,1,,,1,1,1,0,0,0,0,1,1,0,0,0,0
FALSE,Encouragement,Sorcery,,{1}{u/g},Flicker each creature you control with backup.,,,,Flicker,Backup,2,,,1,0,1,0,0,1,0,1,0,0,0,1,0
FALSE,Overrun,Enchantment ,,{3}{r/g},"Spells you control have trample. 
Horde 3 - creatures you control have trample. ",,,,Horde,,4,,,1,0,0,0,1,1,0,1,1,0,0,0,0
FALSE,Active Duty Bonus,Sorcery,,{1}{w/u}{w/r},Tap up to two target permanents target opponent controls. Make a treasure for each tapped creature they control. ,,,,"Tap, Tokens",Tap,3,,,1,1,1,0,1,0,0,1,0,0,0,1,0
FALSE,Soul Sister,Enchantment Creature,Spirit,{2}{w/r}{w/r},"Lifelink
As Soul Sister enters, you may attach up to one creature with bestow to it from your hand.",2,2,,"ETB, Lifegain","Bestow, Enchantments",4,,,1,1,0,0,1,0,0,1,1,1,0,0,0
FALSE,Cannibalistic Ritual,Instant ,,{g},"You may sacrifice a creature or two Foods rather than pay this spell's mana cost. 
Target creature gets +3/+3, gains trample and hexproof, and loses flying and first strike until end of turn.",,,,Pump,"Food, Flying, First Strike",1,,,1,0,0,0,0,1,0,0,0,0,0,1,0
