Not Fleshed Out,Name,Type,Subtype,Cost,Desc,Power,Toughness,Rarity,Custom Color,"""Does""","""Cares About""",CMC,Flavor Text,NOTES,Is Card,Is White,Is Blue,Is Black,Is Red,Is Green,Is Colorless,Is Gold,Is Enchantment,Is Creature,Is Artifact,Is Instant/Sorcery,Is Land,,Notes are Empty,,CMC (replace non-numeric tokens),CMC (numberic extraction),
FALSE,Sneaking Dile,Creature,Reptile,{2}{b},"Sneaking Dile costs {2} less to cast if an opponent discarded this turn or a creature you controlled died this turn.
Skulk
{4}{u}: Draw the bottom card of your library.",2,1,c,,"Draw, evasion","Discard, dying",3,,,1,0,0,1,0,0,0,0,0,1,0,0,0,,TRUE,,{2}$,2,1
FALSE,Secret Wrangler,Creature,Frog Spy,{1}{u},"Secret Wrangler gets +1/+1 for each of your opponents' revealed cards.
Put a card from your hand on the bottom of your library: Secret Wranger gains hexproof until end of turn.",1,2,u,,"Discard, protection",Reveal,2,,,1,0,1,0,0,0,0,0,0,1,0,0,0,,TRUE,,{1}$,1,2
FALSE,Ambitious Contortionist ,Creature,Fox Spy,{2}{b},"Whenever Ambitious Contortionist deals combat damage to a player, they may lose 2 life. If they don't, they reveal the top card of their library and one from their hand.
{1}{b}: Ambitious Contortionist gets +1/-1 until end of turn.",2,3,u,,"Reveal, lifeloss",Combat damage,3,"""You're more flexible than you look!""",,1,0,0,1,0,0,0,0,0,1,0,0,0,,TRUE,,{2}$,2,3
FALSE,Secret-Gorger,Legendary Creature,Elemental,{3}{u}{u},"Flying
Players have no maximum hand size.
Whenever Secret-Gorger deals combat damage, draw a card. The defending player draws a card and reveals it.",4,5,r,,"Flying, draw, reveal",Combat damage,5,"""Delicious... How unxpected.""",,1,0,1,0,0,0,0,0,0,1,0,0,0,,TRUE,,{3}$$,3,4
FALSE,Clandestilla,Artifact,Equipment,{1}{u/b},"Flash, Equip {2}{u/b}
When Clandestilla enters, attach it to target creature you control.
Equipped creature gets +X/+0 for each revealed card in your hand and +0/+X for each unrevealed one. Whenever it deals combat damage to a player, you may reveal a card from your hand.",,,c,,"Pump, reveal ","Reveal, conceal",2,The mirror-blade is treacherous - it finds all secrets.,,1,0,1,1,0,0,0,1,0,0,1,0,0,,TRUE,,{1}$,1,5
FALSE,Fade to Mist,Instant,,{1}{u}{b},"Target opponent loses life and you gain life equal to the number of revealed cards in your hand and deck.
Unreveal a card in your hand, then draw a card and put a card from your hand on the bottom of your library.",,,u,,"Opponent Life loss, life gain, conceal, draw",Reveal,3,,,1,0,1,1,0,0,0,1,0,0,0,1,0,,TRUE,,{1}$$,1,6
FALSE,Nimble Concealment,Instant,,{u/b},"Unreveal a card in your hand, then draw a card and put a card from your hand on the bottom of your library.
Cycling {2}",,,c,,"Conceal, Draw, cycling",Reveal,1,,,1,0,1,1,0,0,0,1,0,0,0,1,0,,TRUE,,$,0,7
FALSE,Shaming Nymph,Sorcery,,{2}{b/g},"Exploit
Shaming Nymph gets +1/+1 whenever it attacks alone.
When Shaming Nymph exploits a creature, target opponent reveals a card if able. Target creature they control gets -1/-1 until end of turn.",2,2,c,,"Exploit, sacrifice, attacking, reveal, removal",few creatures,3,"""It was... everywhere!""",,1,0,0,1,0,1,0,1,0,0,0,1,0,,TRUE,,{2}$,2,8
FALSE,Public Flogging,Sorcery,,{1}{b},"Transparent
Target creature gets -4/-4 until end of turn. If its controller pays {3}, it gets -1/-1 until end of turn instead.",,,c,,"Transparent, reveal, removal",,2,,,1,0,0,1,0,0,0,0,0,0,0,1,0,,TRUE,,{1}$,1,9
FALSE,Mounting Storm,Instant,,{u},"Transparent
Put target creature with mana value 3 on the top of its owner's library.
Rivalstorm (Make a copy of this spell for each spell your opponent has cast before it this turn.)",,,c,,"Transparent, reveal, bounce, Rivalstorm",,1,"""Those clouds... They've been building for weeks. Nothing's scarier than a storm willing to bide it's time.""",,1,0,1,0,0,0,0,0,0,0,0,1,0,,TRUE,,$,0,10
FALSE,Storm of Tears,Instant,,{1}{u},"Kicker - reveal a card from your hand.
Tap up to two target creatures. If this spell was kicked, put a stun counter on one of them.",,,c,,"Reveal, tap, counters",,2,"""I'm tired of hiding this pain!""",,1,0,1,0,0,0,0,0,0,0,0,1,0,,TRUE,,{1}$,1,11
